well,MD,Incl,Azm
BK-23-D_R,0.0,0.0,
BK-23-D_R,106.83,0.0,
BK-23-D_R,116.17,278.45,
BK-23-P,0.0,0.0,
BK-23-P,106.83,0.0,
BK-23-P,116.17,14.86,
BK-23-H_R,0.0,0.0,
BK-23-H_R,106.83,0.0,
BK-23-H_R,116.17,345.75,
BK-23-R_R,0.0,0.0,
BK-23-R_R,106.83,0.0,
BK-23-R_R,116.17,185.81,
TMA-13A,2.25,35.42,93.51
TMA-13A,9.5,15.39,71.95
TMA-13A,876.37,13.37,18.8
TMA-13A,905.31,14.01,18.83
TMA-13A,934.3,14.79,18.98
TMA-13A,963.29,13.14,18.9
TMA-13A,1252.99,18.36,78.18
TMA-13A,1281.94,22.25,80.97
TMA-13A,1575.19,33.98,93.53
TMA-13A,1603.85,36.43,94.01
TMA-13A,1632.89,36.15,94.53
TMA-13A,1661.82,35.59,93.86
TMA-13A,1690.82,35.32,94.36
PLWD-36,2246.84,39.88,199.52
PLWD-36,2275.51,40.4,203.02
PLWD-36,2304.11,40.85,206.52
PLWD-36,2332.71,41.62,208.6
PLWD-36,2361.38,41.71,211.6
PLWD-36,2389.98,41.69,213.71
