file_name,day,TVD_max,rotate_distance,rotate_hrs,slide_distance,slide_hrs,well,platform,rig,size,bit_size,bit_mfg,bit_type,bit_sn,bit_run_number,bit_run_daily_start,bit_run_daily_end,cum_depth,cum_time,dull,nozzles,wob,rpm,rop,flow,spp,tq,mw,mud_type,BHA,drive sys,AGS-BHA,Under Gauge MNB/SMNB,casing,survey
01_RIGT15-cm_DDR_no.06_STWC-19_28_Dec_2022_Service.pdf,28-Dec-2022,2261.98,523.0,10.22,,,STWC-19,STWC,T-15,6-1/8,6.125 in,SMITH,X516RR,JM4351,1,,,,,8-0-LT-N-X-I-WO-B,['4x11'],/,/,,,,/,1.2,CARBO-DRILL,"3 6-1/8"" PDC Bit (Si416), 6 3/32"" Super Stubby Stab, 4 3/4"" Extension sub, 6-1/8"" Variable Gauge Stabilizer (5 5/8""-6 1/8""), 4-3/4"" Float Sub, Pony NMDC, 4-3/4"" Crossover, IMPulse-MLWD HT (681-1170LPM), ADN4-LWD HT w/5-3/4"" IB Stabilizer, Crossover NC38 to XT39, 25 Joints x 4"" HWDP, 4 3/4"" Hydra Jar, 4 Joints x 4"" HWDP, X/O (Total length: 209.6 m)",Motor,Motor,,"[{'OD': 7.0, 'MD': 2606.28, 'TVD': 1734.48}]","[{'MD': 3013.35, 'Incl': 41.42, 'Azm': 105.83}, {'MD': 3041.82, 'Incl': 41.49, 'Azm': 106.03}, {'MD': 3070.62, 'Incl': 43.33, 'Azm': 106.5}, {'MD': 3099.35, 'Incl': 45.46, 'Azm': 106.74}]"
02_RIGT15-cm_DDR_no.07_STWC-19_29_Dec_2022_Service.pdf,29-Dec-2022,2691.32,645.0,18.61,,,STWC-19,STWC,T-15,6-1/8,6.125 in,SMITH,MDi516,QF0168,4,"3,375.00","4,020.00",1168.0,38.25,,"['3x10,', '2x11']",15/17,120/150,,850,"3,350.0","15,000/18,000",1.45,CARBO-DRILL,"4 6-1/8"" PDC Bit (MDi516) RR1, PD 475 Orbit AA 6 1/8"" Slick CC, 6"" Non-Mag Stabilizer, Float Sub, Pony NMDC, 4-3/4"" Crossover, IMPulse-MLWD HT (681-1170LPM), Crossover(NM), NMDC, Crossover NC38 to XT39, 25 Joints x 4"" HWDP, 4 3/4"" Hydra Jar, 4 Joints x 4"" HWDP, Crossover XT-39 to TT-390 (Total length: 313.3 m)",Motor,Motor,,"[{'OD': 7.0, 'MD': 2606.28, 'TVD': 1734.48}]","[{'MD': 4.25, 'Incl': 49.033, 'Azm': 106.4648}, {'MD': 3704.3879, 'Incl': 49.1326, 'Azm': 106.5036}, {'MD': 3762.4973, 'Incl': 49.0416, 'Azm': 106.2962}, {'MD': 3791.4373, 'Incl': 48.8229, 'Azm': 106.5749}]"
03_RIGT15-cm_DDR_no.08_STWC-19_30_Dec_2022_Service.pdf,30-Dec-2022,,58.0,2.89,,,STWC-19,STWC,T-15,6-1/8,6.125 in,SMITH,MDi516,QF0168,4,"4,020.00","4,078.00",1226.0,41.75,0-2-CT-N-X-I-ER-T,"['3x10,', '2x11']",15/17,150/150,,800,"3,350.0","15,000/17,000",1.49,CARBO-DRILL,"4 6-1/8"" PDC Bit (MDi516) RR1, PD 475 Orbit AA 6 1/8"" Slick CC, 6"" Non-Mag Stabilizer, Float Sub, Pony NMDC, 4-3/4"" Crossover, IMPulse-MLWD HT (681-1170LPM), Crossover(NM), NMDC, Crossover NC38 to XT39, 25 Joints x 4"" HWDP, 4 3/4"" Hydra Jar, 4 Joints x 4"" HWDP, Crossover XT-39 to TT-390 (Total length: 313.3 m)",Motor,Motor,,"[{'OD': 7.0, 'MD': 2606.28, 'TVD': 1734.48}]","[{'MD': 4051.88, 'Incl': 45.98, 'Azm': 105.2}, {'MD': 4078.0, 'Incl': 46.0, 'Azm': 105.2}]"
04_RIGT15-cm_DDR_no.11_STWC-19_02_Jan_2023_Service.pdf,02-Jan-2023,,,,,,STWC-19,STWC,T-15,6-1/8,,,,,,,,,,,[],,,,,,,1.49,CARBO-DRILL,,,,,"[{'OD': 7.0, 'MD': 2606.28, 'TVD': 1734.48}]",[]
05_RIGT15-cm_DDR_no.12_STWC-19_03_Jan_2023_Service.pdf,03-Jan-2023,,,,,,STWC-19,STWC,T-15,6-1/8,,,,,,,,,,,[],,,,,,,1.49,CARBO-DRILL,,,,,"[{'OD': 7.0, 'MD': 2606.28, 'TVD': 1734.48}]",[]
06_RIGT15-cm_DDR_no.13_STWC-19_04_Jan_2023_Service.pdf,04-Jan-2023,,,,,,STWC-19,STWC,T-15,6-1/8,,,,,,,,,,,[],,,,,,,1.49,CARBO-DRILL,,,,,"[{'OD': 7.0, 'MD': 2606.28, 'TVD': 1734.48}]",[]
07_RIGT15-cm_DDR_no.14_STWC-19_05_Jan_2023_Service.pdf,05-Jan-2023,,,,,,STWC-19,STWC,T-15,6-1/8,,,,,,,,,,,[],,,,,,,1.49,CARBO-DRILL,,,,,"[{'OD': 7.0, 'MD': 2606.28, 'TVD': 1734.48}]",[]
08_RIGT15-cm_DDR_no.07_STWC-08_05_Jan_2023_Service.pdf,05-Jan-2023,,,,,,STWC-08,STWC,T-15,6-1/8,,,,,,,,,,,[],,,,,,,1.18,CARBO-DRILL,,,,,{},[]
09_RIGT15-cm_DDR_no.08_STWC-08_06_Jan_2023_Service.pdf,06-Jan-2023,2178.0,484.0,10.44,,,STWC-08,STWC,T-15,6-1/8,6.125 in,SMITH,MDi516,JP6299,3,"2,629.00","3,113.00",484.0,14.75,,"['2x11,', '3x10']",12/15,120/150,,"1,050","3,200.0","11,000/14,000",1.18,CARBO-DRILL,"3 6-1/8"" PDC Bit (MDi516)new, PowerDrive 475 Orbit Slick CC with NP FV, 6"" Stabilizer, 4-3/4"" Crossover, Pony NMDC, 4-3/4"" Crossover, IMPulse-MLWD HT (681-1170LPM), ADN4-LWD HT w/5-3/4"" IB Stabilizer, Crossover NC38 to XT39, 25 Joints x 4"" HWDP, 4 3/4"" Hydra Jar, 4 Joints x 4"" HWDP, Crossover XT-39 to TT-390 (Total length: 311.5 m)",Motor,Motor,,{},"[{'MD': 2809.62, 'Incl': 46.66, 'Azm': 110.59}, {'MD': 2838.48, 'Incl': 47.66, 'Azm': 105.98}, {'MD': 2867.19, 'Incl': 47.84, 'Azm': 102.89}, {'MD': 2896.01, 'Incl': 47.95, 'Azm': 107.85}, {'MD': 2924.65, 'Incl': 48.24, 'Azm': 106.9}, {'MD': 2953.39, 'Incl': 48.42, 'Azm': 102.77}, {'MD': 2981.7, 'Incl': 48.47, 'Azm': 102.49}, {'MD': 3010.3, 'Incl': 48.27, 'Azm': 103.64}, {'MD': 3038.96, 'Incl': 49.02, 'Azm': 105.12}, {'MD': 3068.03, 'Incl': 49.0, 'Azm': 105.06}, {'MD': 3096.73, 'Incl': 48.88, 'Azm': 104.94}, {'MD': 3125.73, 'Incl': 48.9, 'Azm': 104.77}]"
10_RIGT15-cm_DDR_no.09_STWC-08_07_Jan_2023_Service.pdf,07-Jan-2023,2595.0,629.0,18.46,,,STWC-08,STWC,T-15,6-1/8,6.125 in,SMITH,MDi516,JP6299,3,"3,113.00","3,742.00",1113.0,38.75,,"['3x10,', '2x11']",15/17,140/150,,800,"2,750.0","14,000/16,000",1.38,CARBO-DRILL,"3 6-1/8"" PDC Bit (MDi516)new, PowerDrive 475 Orbit Slick CC with NP FV, 6"" Stabilizer, 4-3/4"" Crossover, Pony NMDC, 4-3/4"" Crossover, IMPulse-MLWD HT (681-1170LPM), ADN4-LWD HT w/5-3/4"" IB Stabilizer, Crossover NC38 to XT39, 25 Joints x 4"" HWDP, 4 3/4"" Hydra Jar, 4 Joints x 4"" HWDP, Crossover XT-39 to TT-390 (Total length: 311.5 m)",Motor,Motor,,{},"[{'MD': 3443.25, 'Incl': 48.04, 'Azm': 105.03}, {'MD': 3472.18, 'Incl': 47.92, 'Azm': 104.85}, {'MD': 3500.88, 'Incl': 47.59, 'Azm': 104.91}]"
11_RIGT15-cm_DDR_no.10_STWC-08_08_Jan_2023_Service.pdf,08-Jan-2023,2781.06,270.0,13.96,,,STWC-08,STWC,T-15,6-1/8,6.125 in,SMITH,MDi516,JP6299,3,"3,742.00","4,012.00",1383.0,56.75,,"['3x10,', '2x11']",12/16,110/150,,750,"2,800.0","12,000/16,000",1.57,CARBO-DRILL,"3 6-1/8"" PDC Bit (MDi516)new, PowerDrive 475 Orbit Slick CC with NP FV, 6"" Stabilizer, 4-3/4"" Crossover, Pony NMDC, 4-3/4"" Crossover, IMPulse-MLWD HT (681-1170LPM), ADN4-LWD HT w/5-3/4"" IB Stabilizer, Crossover NC38 to XT39, 25 Joints x 4"" HWDP, 4 3/4"" Hydra Jar, 4 Joints x 4"" HWDP, Crossover XT-39 to TT-390 (Total length: 311.5 m)",Motor,Motor,,{},"[{'MD': 3791.0, 'Incl': 48.46, 'Azm': 104.23}, {'MD': 3819.95, 'Incl': 48.08, 'Azm': 103.39}, {'MD': 3848.82, 'Incl': 47.17, 'Azm': 102.06}]"
12_RIGT15-cm_DDR_no.11_STWC-08_09_Jan_2023_Rev1_Service.pdf,09-Jan-2023,2769.01,,,,,STWC-08,STWC,T-15,6-1/8,6.125 in,SMITH,MDi516,JP6299,3,,,,,0-0-NO-A-X-I-ER-T,"['3x10,', '2x11']",/,/,,,,/,1.57,CARBO-DRILL,"3 6-1/8"" PDC Bit (MDi516)new, PowerDrive 475 Orbit Slick CC with NP FV, 6"" Stabilizer, 4-3/4"" Crossover, Pony NMDC, 4-3/4"" Crossover, IMPulse-MLWD HT (681-1170LPM), ADN4-LWD HT w/5-3/4"" IB Stabilizer, Crossover NC38 to XT39, 25 Joints x 4"" HWDP, 4 3/4"" Hydra Jar, 4 Joints x 4"" HWDP, Crossover XT-39 to TT-390 (Total length: 311.5 m)",Motor,Motor,,"[{'OD': 7.0, 'MD': 2622.77, 'TVD': 1850.77}]",[]
13_RIGT15-cm_DDR_no.12_STWC-08_10_Jan_2023_Service.pdf,10-Jan-2023,2769.01,,,,,STWC-08,STWC,T-15,6-1/8,,,,,,,,,,,[],,,,,,,1.57,CARBO-DRILL,,,,,"[{'OD': 2.875, 'MD': 3995.19, 'TVD': 2769.01}]",[]
14_RIGT15-cm_DDR_no.06_STWC-01_10_Jan_2023_Service.pdf,10-Jan-2023,2060.95,,,,,STWC-01,STWC,T-15,6-1/8,6.125 in,NOV,TKC46-F1,S296019,4,"2,584.00","2,587.00",3.0,0.25,0-0-NO-A-X-I-NO-D,['4x12'],4/9,70/80,,900,"1,900.0",8/10,1.15,CARBO-DRILL,"4 6-1/8"" PDC Bit(TKC46-F1) NEW, 6 3/32"" Super Stubby Stab, Extension Sub 1ft, 6-1/8"" Variable Gauge Stabilizer (5 5/8""-6 1/8""), 4-3/4"" Float Sub, VPWD(ECD), IMPulse-MLWD HT, ADN4-LWD HT w/5-3/4"" IB Stabilizer, Crossover NC38 to XT39, 25 Joints x 4"" HWDP, 4 3/4"" Hydra Jar, 4 Joints x 4"" HWDP, X/O (Total length: 310.0 m)",Motor,Motor,,"[{'OD': 7.0, 'MD': 2578.04, 'TVD': 2060.95}]",[]
15_RIGT15-cm_DDR_no.07_STWC-01_11_Jan_2023_Service.pdf,11-Jan-2023,2378.86,440.0,11.7,,,STWC-01,STWC,T-15,6-1/8,6.125 in,SMITH,MDi516,JK7712,5,"2,587.00","3,027.00",440.0,14.5,,"['3x10,', '2x11']",5/15,100/170,,940,"2,650.0","12,000/14,000",1.24,CARBO-DRILL,"5 6-1/8"" PDC Bit (MDi516)new, PowerDrive 475 Orbit Slick CC with NP FV, 4-3/4"" Float Sub, 6"" Stabilizer, MWD+PWD, IMPulse-MLWD HT, ADN4-LWD HT w/5-3/4"" IB Stabilizer, Crossover NC38 to XT39, 25 Joints x 4"" HWDP, 4 3/4"" Hydra Jar, 4 Joints x 4"" HWDP, Crossover XT-39 to TT-390 (Total length: 311.7 m)",Motor,Motor,,"[{'OD': 7.0, 'MD': 2578.04, 'TVD': 2060.95}]","[{'MD': 2693.12, 'Incl': 44.68, 'Azm': 84.66}, {'MD': 2721.72, 'Incl': 44.68, 'Azm': 84.52}, {'MD': 2750.33, 'Incl': 44.74, 'Azm': 84.54}]"
16_RIGT15-cm_DDR_no.08_STWC-01_12_Jan_2023_Service.pdf,12-Jan-2023,2658.77,398.0,12.45,,,STWC-01,STWC,T-15,6-1/8,6.125 in,SMITH,MDi516,JK7712,5,,,,,0-0-NO-A-X-I-NO-D,"['3x10,', '2x11']",/,/,,,,/,1.41,CARBO-DRILL,"5 6-1/8"" PDC Bit (MDi516)new, PowerDrive 475 Orbit Slick CC with NP FV, 4-3/4"" Float Sub, 6"" Stabilizer, MWD+PWD, IMPulse-MLWD HT, ADN4-LWD HT w/5-3/4"" IB Stabilizer, Crossover NC38 to XT39, 25 Joints x 4"" HWDP, 4 3/4"" Hydra Jar, 4 Joints x 4"" HWDP, Crossover XT-39 to TT-390 (Total length: 311.7 m)",Motor,Motor,,"[{'OD': 7.0, 'MD': 2578.04, 'TVD': 2060.95}]","[{'MD': 3126.49, 'Incl': 44.54, 'Azm': 82.11}, {'MD': 3155.23, 'Incl': 44.92, 'Azm': 82.06}, {'MD': None, 'Incl': 45.21, 'Azm': 82.12}, {'MD': 3213.32, 'Incl': 45.29, 'Azm': 82.16}, {'MD': 3242.0, 'Incl': 45.42, 'Azm': 82.14}, {'MD': 3271.18, 'Incl': 45.65, 'Azm': 82.26}, {'MD': 3300.1, 'Incl': 46.15, 'Azm': 82.19}, {'MD': 3329.2, 'Incl': 46.52, 'Azm': 82.2}, {'MD': 3358.12, 'Incl': 46.66, 'Azm': 82.24}, {'MD': 3387.3, 'Incl': 46.66, 'Azm': 82.13}]"
17_RIGT15-cm_DDR_no.09_STWC-01_13_Jan_2023_Service.pdf,13-Jan-2023,2740.35,118.0,6.12,,,STWC-01,STWC,T-15,6-1/8,6.125 in,SMITH,MDi516,JK7712,6,"3,425.00","3,543.00",516.0,23.25,,"['3x10,', '2x11']",15/18,100/120,,750,"3,540.0","12,000/15,000",1.52,CARBO-DRILL,"6 6-1/8"" PDC Bit (MDi516) Rerun, PowerDrive 475 Orbit Slick CC with NP FV, 4-3/4"" Float Sub, 6"" Stabilizer, MWD+PWD, IMPulse-MLWD HT, ADN4-LWD HT w/5-3/4"" IB Stabilizer, Crossover NC38 to XT39, 25 Joints x 4"" HWDP, 4 3/4"" Hydra Jar, 4 Joints x 4"" HWDP, Crossover XT-39 to TT-390 (Total length: 311.6 m)",Motor,Motor,,"[{'OD': 7.0, 'MD': 2578.04, 'TVD': 2060.95}]","[{'MD': 8.0, 'Incl': 45.76, 'Azm': 81.64}, {'MD': 3502.85, 'Incl': 46.08, 'Azm': 81.62}, {'MD': 3543.0, 'Incl': 45.8, 'Azm': 81.6}]"
18_RIGT15-cm_DDR_no.10_STWC-01_14_Jan_2023_Service.pdf,14-Jan-2023,2732.76,,,,,STWC-01,STWC,T-15,6-1/8,6.125 in,SMITH,MDi516,JK7712,6,,,,,0-0-NO-A-X-I-PN-T,"['3x10,', '2x11']",/,/,,,,/,1.52,CARBO-DRILL,"6 6-1/8"" PDC Bit (MDi516) Rerun, PowerDrive 475 Orbit Slick CC with NP FV, 4-3/4"" Float Sub, 6"" Stabilizer, MWD+PWD, IMPulse-MLWD HT, ADN4-LWD HT w/5-3/4"" IB Stabilizer, Crossover NC38 to XT39, 25 Joints x 4"" HWDP, 4 3/4"" Hydra Jar, 4 Joints x 4"" HWDP, Crossover XT-39 to TT-390 (Total length: 311.6 m)",Motor,Motor,,"[{'OD': 2.875, 'MD': 3531.69, 'TVD': 2732.76}]",[]
