well,MD,Incl,Azm
STWC-19,4.25,49.033,106.4648
STWC-19,3013.35,41.42,105.83
STWC-19,3041.82,41.49,106.03
STWC-19,3070.62,43.33,106.5
STWC-19,3099.35,45.46,106.74
STWC-19,3704.3879,49.1326,106.5036
STWC-19,3762.4973,49.0416,106.2962
STWC-19,3791.4373,48.8229,106.5749
STWC-19,4051.88,45.98,105.2
STWC-19,4078.0,46.0,105.2
STWC-08,2809.62,46.66,110.59
STWC-08,2838.48,47.66,105.98
STWC-08,2867.19,47.84,102.89
STWC-08,2896.01,47.95,107.85
STWC-08,2924.65,48.24,106.9
STWC-08,2953.39,48.42,102.77
STWC-08,2981.7,48.47,102.49
STWC-08,3010.3,48.27,103.64
STWC-08,3038.96,49.02,105.12
STWC-08,3068.03,49.0,105.06
STWC-08,3096.73,48.88,104.94
STWC-08,3125.73,48.9,104.77
STWC-08,3443.25,48.04,105.03
STWC-08,3472.18,47.92,104.85
STWC-08,3500.88,47.59,104.91
STWC-08,3791.0,48.46,104.23
STWC-08,3819.95,48.08,103.39
STWC-08,3848.82,47.17,102.06
STWC-01,8.0,45.76,81.64
STWC-01,2693.12,44.68,84.66
STWC-01,2721.72,44.68,84.52
STWC-01,2750.33,44.74,84.54
STWC-01,3126.49,44.54,82.11
STWC-01,3155.23,44.92,82.06
STWC-01,3213.32,45.29,82.16
STWC-01,3242.0,45.42,82.14
STWC-01,3271.18,45.65,82.26
STWC-01,3300.1,46.15,82.19
STWC-01,3329.2,46.52,82.2
STWC-01,3358.12,46.66,82.24
STWC-01,3387.3,46.66,82.13
STWC-01,3502.85,46.08,81.62
STWC-01,3543.0,45.8,81.6
STWC-01,,45.21,82.12
STWC-13,3417.07,50.72,98.33
STWC-13,3445.91,50.76,98.23
STWC-13,3475.01,51.24,98.28
STWC-13,3763.5,51.47,98.36
STWC-13,3792.58,51.54,98.43
STWC-13,3821.39,51.61,98.43
STWC-07,2.0,0.0,0.0
STWC-07,101.07,0.0,170.0
STWC-07,106.06,0.11,290.82
STWC-20,0.5,0.0,0.0
STWC-20,101.07,0.0,0.0
STWC-20,106.06,0.32,338.21
STWC-20,2340.29,54.35,133.76
STWC-20,2369.72,54.31,132.78
STWC-20,2398.84,54.44,132.62
STWC-16,1.0,0.0,0.0
STWC-16,9.5,55.84,83.2
STWC-16,101.07,0.0,88.0
STWC-16,106.06,0.36,12.24
STWC-16,134.45,0.29,65.51
STWC-16,1725.13,55.44,81.54
STWC-16,1754.13,55.91,81.69
STWC-16,1783.66,55.31,84.16
STWC-16,2486.99,54.64,83.96
STWC-16,2516.55,56.98,84.33
STWC-09,0.5,0.0,0.0
STWC-09,101.07,0.0,210.0
STWC-09,106.06,0.52,280.98
STWC-09,1108.89,53.63,159.28
STWC-09,1138.07,53.98,159.92
STWC-09,1167.27,54.29,159.47
STWC-09,2428.21,53.33,159.58
STWC-09,2457.88,53.57,159.43
STWC-09,2487.29,53.44,158.95
STWC-06,2.0,33.81,154.32
STWC-06,1314.44,34.47,154.26
STWC-06,1373.05,35.57,153.37
STWC-06,1842.65,38.24,138.84
STWC-06,1872.1,38.2,134.18
STWC-06,1900.96,38.95,128.07
STWC-04,19.0,49.45,95.38
STWC-04,874.03,13.59,103.0
STWC-04,903.15,13.76,102.93
STWC-04,932.66,14.1,103.36
STWC-04,1725.07,49.17,94.75
STWC-04,1754.31,49.76,94.14
TMA-13A,2.25,35.42,93.51
TMA-13A,9.5,15.39,71.95
TMA-13A,876.37,13.37,18.8
TMA-13A,905.31,14.01,18.83
TMA-13A,934.3,14.79,18.98
TMA-13A,963.29,13.14,18.9
TMA-13A,1252.99,18.36,78.18
TMA-13A,1281.94,22.25,80.97
TMA-13A,1575.19,33.98,93.53
TMA-13A,1603.85,36.43,94.01
TMA-13A,1632.89,36.15,94.53
TMA-13A,1661.82,35.59,93.86
TMA-13A,1690.82,35.32,94.36
STWC-08,2809.62,46.66,110.59
STWC-08,2838.48,47.66,105.98
STWC-08,2867.19,47.84,102.89
STWC-08,2896.01,47.95,107.85
STWC-08,2924.65,48.24,106.9
STWC-08,2953.39,48.42,102.77
STWC-08,2981.7,48.47,102.49
STWC-08,3010.3,48.27,103.64
STWC-08,3038.96,49.02,105.12
STWC-08,3068.03,49.0,105.06
STWC-08,3096.73,48.88,104.94
STWC-08,3125.73,48.9,104.77
STWC-08,3443.25,48.04,105.03
STWC-08,3472.18,47.92,104.85
STWC-08,3500.88,47.59,104.91
STWC-08,3791.0,48.46,104.23
STWC-08,3819.95,48.08,103.39
STWC-08,3848.82,47.17,102.06
STWC-01,8.0,45.76,81.64
STWC-01,2693.12,44.68,84.66
STWC-01,2721.72,44.68,84.52
STWC-01,2750.33,44.74,84.54
STWC-01,3126.49,44.54,82.11
STWC-01,3155.23,44.92,82.06
STWC-01,3213.32,45.29,82.16
STWC-01,3242.0,45.42,82.14
STWC-01,3271.18,45.65,82.26
STWC-01,3300.1,46.15,82.19
STWC-01,3329.2,46.52,82.2
STWC-01,3358.12,46.66,82.24
STWC-01,3387.3,46.66,82.13
STWC-01,3502.85,46.08,81.62
STWC-01,3543.0,45.8,81.6
STWC-01,,45.21,82.12
STWC-13,3417.07,50.72,98.33
STWC-13,3445.91,50.76,98.23
STWC-13,3475.01,51.24,98.28
STWC-13,3763.5,51.47,98.36
STWC-13,3792.58,51.54,98.43
STWC-13,3821.39,51.61,98.43
STWC-07,2.0,0.0,0.0
STWC-07,101.07,0.0,170.0
STWC-07,106.06,0.11,290.82
STWC-20,0.5,0.0,0.0
STWC-20,101.07,0.0,0.0
STWC-20,106.06,0.32,338.21
STWC-20,2340.29,54.35,133.76
STWC-20,2369.72,54.31,132.78
STWC-20,2398.84,54.44,132.62
STWC-16,1.0,0.0,0.0
STWC-16,9.5,55.84,83.2
STWC-16,101.07,0.0,88.0
STWC-16,106.06,0.36,12.24
STWC-16,134.45,0.29,65.51
STWC-16,1725.13,55.44,81.54
STWC-16,1754.13,55.91,81.69
STWC-16,1783.66,55.31,84.16
STWC-16,2486.99,54.64,83.96
STWC-16,2516.55,56.98,84.33
STWC-09,0.5,0.0,0.0
STWC-09,101.07,0.0,210.0
STWC-09,106.06,0.52,280.98
STWC-09,1108.89,53.63,159.28
STWC-09,1138.07,53.98,159.92
STWC-09,1167.27,54.29,159.47
STWC-09,2428.21,53.33,159.58
STWC-09,2457.88,53.57,159.43
STWC-09,2487.29,53.44,158.95
STWC-06,2.0,33.81,154.32
STWC-06,1314.44,34.47,154.26
STWC-06,1373.05,35.57,153.37
STWC-06,1842.65,38.24,138.84
